Epistemology: Biomedical/Empiricist Model,Center (Source/Concept),Epistemology: Cultural/Hermeneutic Model 
,Priscilla Wald. Contagious. 2008.,
“The Judas Strain”,Identification of a novel infectious disease,“The Raison Strain”
,Formulaic plot: exposure; incubation; spread; hunt/race for “cure”; containment,
Susan Tunis,“Patient Zero”,Thomas/Tanis
Deadly cyanobacteria originated in Cambodia,The “Diseased Other” from the exotic East,Mutated vaccine developed in Bangkok
“By harvesting and harnessing this pathogen, they hope to create a slew of new bacterial bioweapons…” (153).,Biowarfare—used against the United States and their allies,“Whoever won the unspoken race to perfect the right bioweapon would wield more power than any man who had ever preceded him” (Black 315).
Iconography such as religious sites; use of religious language; Biblical citations; apocalypse/extinction,Religious themes,A second reality in which forces of good and evil manifest physically, alluding to Judeo-Christianity; the tribulation/Armageddon
,John J. Pilch. Healing in the New Testament. 2000.,
"Biomedical/Empiricist Model: Elicitation procedures: Lab tests; review of bodily systems; patient’s report helpful but not necessary; technology reveals all. Interpretive goal: Diagnose and explain the symptoms. Therapeutic goal: Intervene (with surgery, chemotherapy, etc.) in the bodily disease process to eradicate it or to halt its progress. (43)",Healthcare Systems,"Cultural/Hermeneutic Model: Elicitation procedures: Evaluate the patient’s explanatory models and decode the semantic illness network (link in original). Interpretive goal: Understand the meaning this illness episode has for the patient; for benefit of the client. Therapeutic goal: Treats the client’s experience. Bring to understanding the hidden aspects of the illness reality and transform that reality. Reformulate the client’s self-understanding by establishing a meaningful context."
"“Disease”: Lack of health; a pathological state affecting the individual alone, even if the disease is contagious. (76) Disease is objective and observable.",,"“Illness”: A socially disvalued condition or state that involves and affects many others besides the stricken individual. (76) Illness is subjective and personal."
"“Cure”: The taking of effective control of a disordered biological and/or psychological process. (13)",,"“Healing”: A process by which the sufferer gains a degree of satisfaction through the reduction, or even elimination of the psychological, sensory, and experiential oppressiveness engendered by his medical circumstances, meaning is restored, and the sufferer is returned to purposeful living. (13-14)"
None of the main protagonists contract the virus,View of the Ill,Everyone is infected with the virus/allegorical skin disease
“Reflexively, she ran the treatment through her head, going clinical again. Diazepam and a morphine drip. Still, deeper inside, she knew the truth. They all did. The suffering man’s treatment would be merely palliative, to make him comfortable.” (42),,"“Had evil entered him somehow, or was it just out here in this physical form?…How could she have so easily turned into this snarling, desperate animal with dead eyes and flaking skin?” (Black 352, 354)"
,,"“Elyon’s faithful bathed each day to keep the painful skin disease from overtaking their bodies. This ritual cleansing was what separated them from the Scabs” (Red 3)."
,,"“In some strange way, his own eyes had been opened to her…As Elyon saw her…She stood in the sunlight from the window above them, face white with morst, eyes gray and dead. A revolting image once. But now…” (White 136-137). “Had any of them seen such a sight? An albino man…tenderly holding the hand of a diseased woman” (240)."
“I don’t think it matters if she’s alive or dead. We just need her body” (418).,The Cure,“History pivots on sacrifice. You see? I was given life in the lake so that I could pass that life on to you. The fact that it’ll take my life is really inconsequential” (White 325).
,Alan P. R. Gregory. Science Fiction Theology: Beauty and the Transformation of the Sublime. 2015.,
"“Sublime”: Explore[s] the grip had on the modern imagination by vastness and extreme power, by the fearful and the threatening, the grand and imposing, the vertiginous and appalling, and by that which strains imagination and stumps reason. (2)",,"“Beauty”: In which the inner plenitude of God and the complex harmonies of God’s work ground a doctrine of creation in which divine beauty demands and secures creaturely diversity, transcends the dualisms associated with sublimity, and preserves the incomparable distinction between Creator and creature. (205)"
“The imagination knows God first and foremost as overwhelming power, a sublime power before which ‘we are, in a manner, annihilated.’ Burke appeals to the sublime imaginations of the Old Testament for testimony to the enduring frightfulness of God for humanity” (204).,,"“Burke places Jesus, therefore, on the female side; it is Christianity that has ‘humanized’ notions of God, rendered God approachable by softening the terrors of sublimity alone” (204). Jesus as healer (78)"
